freq_kHz,power_dB
3.839615913530893181e+02,-1.773171806118898814e+02
3.849614913305712776e+02,-1.844171710103229316e+02
3.859613913080532939e+02,-1.928617391844322810e+02
3.869612912855353102e+02,-1.763695718517883506e+02
3.879611912630173265e+02,-1.774673105584062114e+02
3.889610912404992860e+02,-1.675885037971152940e+02
3.899609912179813023e+02,-1.564035916063072023e+02
3.909608911954633186e+02,-1.782568314800873281e+02
3.919607911729452780e+02,-1.533714729806995649e+02
3.929606911504273512e+02,-1.534094550085737296e+02
3.939605911279093107e+02,-1.476432279541911896e+02
3.949604911053912701e+02,-1.423074159336188131e+02
3.959603910828733433e+02,-1.363433750789240548e+02
3.969602910603553028e+02,-1.283997021553467732e+02
3.979601910378373759e+02,-1.164675350324149292e+02
3.989600910153193354e+02,-7.576955537593320855e+01
3.999599909928012949e+02,-6.938022972842060199e+01
4.009598909702833680e+02,-7.503459491882055943e+01
4.019597909477653275e+02,-1.154334214232867453e+02
4.029596909252473438e+02,-1.275383929888706689e+02
4.039595909027293601e+02,-1.354217263446333277e+02
4.049594908802113764e+02,-1.416425337553845338e+02
4.059593908576933359e+02,-1.458723555524856579e+02
4.069592908351753522e+02,-1.503192885852831751e+02
4.079591908126573685e+02,-1.545579165590567357e+02
4.089590907901393848e+02,-1.583705011209375471e+02
4.099589907676214011e+02,-1.555740693806095862e+02
4.109588907451033606e+02,-1.597608201352185802e+02
4.119587907225853769e+02,-1.657950778662868174e+02
4.129586907000673932e+02,-1.599687952706442218e+02
4.139585906775493527e+02,-1.876647119352820425e+02
4.149584906550314258e+02,-1.672690204463811483e+02
4.159583906325133853e+02,-1.659348759598472896e+02
4.169582906099953448e+02,-1.684548045057098875e+02
4.179581905874774179e+02,-1.710229106668805912e+02
4.189580905649593774e+02,-1.721811265335906000e+02
4.199579905424414505e+02,-1.730998979713700123e+02
4.209578905199234100e+02,-1.673990647466056316e+02
4.219577904974053695e+02,-1.535732657965030228e+02
4.229576904748874426e+02,-1.702125179416441085e+02
4.239575904523694021e+02,-1.895569239870420404e+02
4.249574904298514184e+02,-1.934715029386495644e+02
4.259573904073334347e+02,-1.741469858164691971e+02
4.269572903848154510e+02,-1.814021606806289242e+02
4.279571903622974105e+02,-1.708977750039007049e+02
4.289570903397794268e+02,-1.651132748138051056e+02
4.299569903172614431e+02,-1.555974888602008264e+02
4.309568902947434594e+02,-1.475396664644941609e+02
4.319567902722254757e+02,-1.497744355255419748e+02
4.329566902497074352e+02,-1.633775009535976608e+02
4.339565902271894515e+02,-1.704615470433432165e+02
4.349564902046714678e+02,-1.750940578860149515e+02
4.359563901821534273e+02,-1.733759921602208749e+02
4.369562901596355005e+02,-1.890248523053972463e+02
4.379561901371174599e+02,-1.897458946212549620e+02
4.389560901145994194e+02,-1.681109364347666428e+02
4.399559900920814925e+02,-1.734875189031752996e+02
4.409558900695634520e+02,-1.639881810441305561e+02
4.419557900470455252e+02,-1.813397705375789997e+02
4.429556900245274846e+02,-1.695616936612999837e+02
4.439555900020094441e+02,-1.604696669113528458e+02
4.449554899794915173e+02,-1.709944131468156741e+02
4.459553899569734767e+02,-1.656389631126310178e+02
4.469552899344554930e+02,-1.660804292774448641e+02
4.479551899119375094e+02,-1.612689744282812683e+02
4.489550898894195257e+02,-1.559031488358565980e+02
4.499549898669014851e+02,-1.515695351457368929e+02
4.509548898443835014e+02,-1.398441416851814836e+02
4.519547898218655178e+02,-1.207083340864343199e+02
4.529546897993475341e+02,-1.093411917373894369e+02
4.539545897768295504e+02,-1.109101288214226315e+02
4.549544897543115098e+02,-1.280857202728355446e+02
4.559543897317935262e+02,-1.432831395543077520e+02
4.569542897092755425e+02,-1.516853209866997645e+02
4.579541896867575019e+02,-1.604298572517136563e+02
4.589540896642395751e+02,-1.717538842255061411e+02
